Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,Sck,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Yds/Rec,Rec_TD,Rec FUM,PDef,Scrm Plys,3rd_Conv%,4th Conv%,FF,FR,W,L,T,Win pct
Redskins,411,191,46.5,6.0,2127,11,29,45.1,0,0.0,36,1971,408,1396,3.4,7,0,0.0,12.8,11,0,0,855,,,0,0,9,4,1,0.6785714285714286
49ers,341,152,44.6,6.8,2011,17,14,67.0,0,0.0,38,1971,408,1668,4.1,4,0,0.0,15.2,17,0,0,787,,,0,0,9,5,0,0.6428571428571429
Chargers,347,193,55.6,7.0,2262,15,22,65.7,0,0.0,19,1971,493,2296,4.7,25,0,0.0,12.6,15,0,0,859,,,0,0,6,8,0,0.42857142857142855
Steelers,408,235,57.6,7.5,2766,16,17,77.0,0,0.0,33,1971,440,1482,3.4,13,0,0.0,13.0,16,0,0,881,,,0,0,6,8,0,0.42857142857142855
Cardinals,375,212,56.5,6.8,2380,12,17,69.3,0,0.0,20,1971,486,1985,4.1,10,0,0.0,12.0,12,0,0,881,,,0,0,4,9,1,0.32142857142857145
Eagles,407,220,54.1,7.3,2660,16,22,68.1,0,0.0,32,1971,450,1962,4.4,16,0,0.0,13.5,16,0,0,889,,,0,0,6,7,1,0.4642857142857143
Jets,342,163,47.7,6.7,2055,17,13,70.4,0,0.0,27,1971,472,2302,4.9,18,0,0.0,14.0,17,0,0,841,,,0,0,6,8,0,0.42857142857142855
Giants,333,173,52.0,7.4,2307,25,15,82.4,0,0.0,18,1971,449,2059,4.6,12,0,0.0,14.2,25,0,0,800,,,0,0,4,10,0,0.2857142857142857
Saints,333,175,52.6,7.4,2238,20,20,71.8,0,0.0,24,1971,495,2200,4.4,18,0,0.0,14.1,20,0,0,852,,,0,0,4,8,2,0.35714285714285715
Patriots,350,170,48.6,6.9,2154,16,15,68.5,0,0.0,25,1971,481,1918,4.0,14,0,0.0,14.1,16,0,0,856,,,0,0,6,8,0,0.42857142857142855
Vikings,405,206,50.9,5.0,1806,10,27,45.7,0,0.0,27,1971,447,1600,3.6,2,0,0.0,9.8,10,0,0,879,,,0,0,11,3,0,0.7857142857142857
Dolphins,363,206,56.7,6.3,2000,10,17,65.4,0,0.0,34,1971,403,1661,4.1,10,0,0.0,11.1,10,0,0,800,,,0,0,10,3,1,0.75
Raiders,359,184,51.3,7.3,2386,15,23,62.3,0,0.0,32,1971,480,1751,3.6,14,0,0.0,14.2,15,0,0,871,,,0,0,8,4,2,0.6428571428571429
Rams,387,200,51.7,7.0,2379,15,27,58.0,0,0.0,37,1971,455,1658,3.6,11,0,0.0,13.5,15,0,0,879,,,0,0,8,5,1,0.6071428571428571
Chiefs,418,209,50.0,6.5,2468,11,27,52.6,0,0.0,28,1971,367,1300,3.5,9,0,0.0,12.9,11,0,0,813,,,0,0,10,3,1,0.75
Colts,361,185,51.2,5.6,1739,9,28,44.2,0,0.0,33,1971,352,1113,3.2,8,0,0.0,11.0,9,0,0,746,,,0,0,10,4,0,0.7142857142857143
Oilers,354,180,50.8,6.8,2072,11,23,56.2,0,0.0,37,1971,489,1723,3.5,22,0,0.0,13.4,11,0,0,880,,,0,0,4,9,1,0.32142857142857145
Packers,353,186,52.7,7.0,2301,21,16,76.1,0,0.0,19,1971,489,1707,3.5,7,0,0.0,13.3,21,0,0,861,,,0,0,4,8,2,0.35714285714285715
Lions,306,163,53.3,7.1,2017,17,22,64.5,0,0.0,18,1971,432,1842,4.3,15,0,0.0,13.3,17,0,0,756,,,0,0,7,6,1,0.5357142857142857
Broncos,356,150,42.1,6.8,1985,18,20,59.0,0,0.0,44,1971,426,1834,4.3,11,0,0.0,16.1,18,0,0,826,,,0,0,4,9,1,0.32142857142857145
Cowboys,421,209,49.6,6.3,2324,15,26,55.9,0,0.0,43,1971,353,1144,3.2,8,0,0.0,12.7,15,0,0,817,,,0,0,11,3,0,0.7857142857142857
Browns,339,156,46.0,6.4,1967,12,24,49.4,0,0.0,25,1971,484,2227,4.6,14,0,0.0,13.9,12,0,0,848,,,0,0,9,5,0,0.6428571428571429
Bengals,335,157,46.9,7.1,2128,19,27,56.1,0,0.0,30,1971,446,1778,4.0,11,0,0.0,15.2,19,0,0,811,,,0,0,4,10,0,0.2857142857142857
Bears,362,192,53.0,7.2,2404,12,22,62.0,0,0.0,28,1971,509,2116,4.2,14,0,0.0,13.6,12,0,0,899,,,0,0,6,8,0,0.42857142857142855
Bills,303,157,51.8,7.7,2108,20,11,84.2,0,0.0,30,1971,562,2496,4.4,21,0,0.0,14.9,20,0,0,895,,,0,0,1,13,0,0.07142857142857142
Falcons,343,164,47.8,5.5,1638,9,20,49.4,0,0.0,31,1971,500,2149,4.3,19,0,0.0,11.6,9,0,0,874,,,0,0,7,6,1,0.5357142857142857
Redskins,367,186,50.7,5.8,1862,10,17,58.3,0,0.0,35,1972,427,1733,4.1,12,0,0.0,11.5,10,0,0,829,,,0,0,11,3,0,0.7857142857142857
49ers,366,169,46.2,7.1,2179,14,19,61.1,0,0.0,46,1972,446,1847,4.1,12,0,0.0,15.3,14,0,0,858,,,0,0,8,5,1,0.6071428571428571
Chargers,358,201,56.1,6.8,2208,18,24,66.1,0,0.0,26,1972,435,1673,3.8,18,0,0.0,12.1,18,0,0,819,,,0,0,4,9,1,0.32142857142857145
Steelers,411,206,50.1,5.8,2056,9,28,47.0,0,0.0,40,1972,445,1715,3.9,6,0,0.0,11.6,9,0,0,896,,,0,0,11,3,0,0.7857142857142857
Cardinals,365,221,60.5,7.5,2550,15,11,84.9,0,0.0,22,1972,548,2189,4.0,11,0,0.0,12.4,15,0,0,935,,,0,0,4,9,1,0.32142857142857145
Eagles,318,175,55.0,8.2,2472,20,19,78.3,0,0.0,17,1972,544,2266,4.2,22,0,0.0,14.9,20,0,0,879,,,0,0,2,11,1,0.17857142857142858
Jets,363,186,51.2,8.0,2637,18,19,72.7,0,0.0,27,1972,476,2072,4.4,16,0,0.0,15.5,18,0,0,866,,,0,0,7,7,0,0.5
Giants,333,182,54.7,7.7,2339,19,23,70.0,0,0.0,37,1972,402,1855,4.6,9,0,0.0,14.1,19,0,0,772,,,0,0,8,6,0,0.5714285714285714
Saints,367,213,58.0,7.1,2402,21,14,83.1,0,0.0,24,1972,482,2089,4.3,15,0,0.0,12.2,21,0,0,873,,,0,0,2,11,1,0.17857142857142858
Patriots,326,175,53.7,8.1,2533,24,10,92.2,0,0.0,15,1972,548,2717,5.0,27,0,0.0,15.1,24,0,0,889,,,0,0,3,11,0,0.21428571428571427
Vikings,331,169,51.1,5.4,1699,13,26,47.5,0,0.0,21,1972,454,2002,4.4,13,0,0.0,10.6,13,0,0,806,,,0,0,7,7,0,0.5
Dolphins,348,178,51.1,5.8,1749,10,26,47.4,0,0.0,33,1972,389,1548,4.0,8,0,0.0,11.4,10,0,0,770,,,0,0,14,0,0,1.0
Raiders,348,166,47.7,6.8,2152,14,25,53.6,0,0.0,27,1972,469,1764,3.8,9,0,0.0,14.2,14,0,0,844,,,0,0,10,3,1,0.75
Rams,363,181,49.9,6.8,2145,20,16,72.0,0,0.0,42,1972,438,1762,4.0,9,0,0.0,13.7,20,0,0,843,,,0,0,6,7,1,0.4642857142857143
Chiefs,368,186,50.5,6.7,2222,17,24,60.5,0,0.0,32,1972,453,1805,4.0,12,0,0.0,13.3,17,0,0,853,,,0,0,8,6,0,0.5714285714285714
Colts,313,178,56.9,8.2,2323,15,23,68.8,0,0.0,25,1972,515,1989,3.9,15,0,0.0,14.4,15,0,0,853,,,0,0,5,9,0,0.35714285714285715
Oilers,324,174,53.7,7.1,2143,12,6,81.2,0,0.0,24,1972,546,2591,4.7,23,0,0.0,13.3,12,0,0,894,,,0,0,1,13,0,0.07142857142857142
Packers,340,174,51.2,6.5,1957,7,17,57.8,0,0.0,29,1972,443,1517,3.4,14,0,0.0,12.7,7,0,0,812,,,0,0,10,4,0,0.7142857142857143
Lions,312,171,54.8,6.9,2004,18,12,79.6,0,0.0,21,1972,491,2204,4.5,14,0,0.0,12.5,18,0,0,824,,,0,0,8,5,1,0.6071428571428571
Broncos,397,206,51.9,6.4,2183,19,10,77.4,0,0.0,41,1972,439,1668,3.8,15,0,0.0,12.3,19,0,0,877,,,0,0,5,9,0,0.35714285714285715
Cowboys,382,187,49.0,6.6,2240,18,16,68.5,0,0.0,32,1972,428,1515,3.5,7,0,0.0,13.4,18,0,0,842,,,0,0,10,4,0,0.7142857142857143
Browns,310,160,51.6,6.4,1736,14,13,69.5,0,0.0,38,1972,520,2333,4.5,13,0,0.0,12.5,14,0,0,868,,,0,0,10,4,0,0.7142857142857143
Bengals,350,167,47.7,5.8,1737,11,20,52.7,0,0.0,38,1972,406,1815,4.5,11,0,0.0,12.2,11,0,0,794,,,0,0,8,6,0,0.5714285714285714
Bears,342,180,52.6,6.9,2172,16,21,64.5,0,0.0,23,1972,476,1751,3.7,11,0,0.0,13.0,16,0,0,841,,,0,0,4,9,1,0.32142857142857145
Bills,308,131,42.5,7.0,1951,19,23,56.0,0,0.0,22,1972,532,2241,4.2,26,0,0.0,16.4,19,0,0,862,,,0,0,4,9,1,0.32142857142857145
Falcons,301,137,45.5,6.3,1704,13,18,55.9,0,0.0,24,1972,504,2063,4.1,16,0,0.0,13.9,13,0,0,829,,,0,0,7,7,0,0.5
Redskins,406,203,50.0,6.2,2176,12,26,52.9,0,0.0,53,1973,480,1603,3.3,8,0,0.0,12.5,12,0,0,939,,,0,0,10,4,0,0.7142857142857143
49ers,383,194,50.7,6.8,2366,19,17,70.5,0,0.0,32,1973,513,1963,3.8,11,0,0.0,13.4,19,0,0,928,,,0,0,5,9,0,0.35714285714285715
Chargers,341,177,51.9,7.3,2254,18,16,73.6,0,0.0,26,1973,559,2264,4.1,23,0,0.0,14.0,18,0,0,926,,,0,0,2,11,1,0.17857142857142858
Steelers,359,164,45.7,5.4,1672,11,37,33.1,0,0.0,33,1973,488,1652,3.4,8,0,0.0,11.7,11,0,0,880,,,0,0,10,4,0,0.7142857142857143
Cardinals,417,252,60.4,7.7,3029,23,10,93.1,0,0.0,29,1973,504,2120,4.2,16,0,0.0,12.8,23,0,0,950,,,0,0,4,9,1,0.32142857142857145
Eagles,370,219,59.2,7.5,2639,22,15,85.7,0,0.0,21,1973,512,2423,4.7,22,0,0.0,12.7,22,0,0,903,,,0,0,5,8,1,0.39285714285714285
Jets,296,150,50.7,7.3,1950,18,19,68.1,0,0.0,26,1973,538,2228,4.1,12,0,0.0,14.3,18,0,0,860,,,0,0,4,10,0,0.2857142857142857
Giants,275,161,58.5,8.2,1985,17,20,75.3,0,0.0,35,1973,497,2174,4.4,21,0,0.0,14.0,17,0,0,807,,,0,0,2,11,1,0.17857142857142858
Saints,337,176,52.2,6.9,2178,15,16,69.5,0,0.0,24,1973,556,2402,4.3,17,0,0.0,13.3,15,0,0,917,,,0,0,5,9,0,0.35714285714285715
