Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,Sck,SckY,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Rush FUM,Yds/Rec,Rec_TD,Rec FUM,Scrm Plys,3rd_Conv%,4th Conv%,W,L,T,Win pct
Redskins,334,182,54.5,7.2,2391,13,15,71.6,0,0.0,17,118,1971,477,1757,3.7,8,0,0.0,0,13.1,13,0,828,,,9,4,1,0.6785714285714286
49ers,391,209,53.5,6.9,2688,18,24,65.0,0,0.0,11,111,1971,498,2129,4.3,12,0,0.0,0,12.9,18,0,900,,,9,5,0,0.6428571428571429
Chargers,450,244,54.2,7.3,3305,23,28,69.0,0,0.0,19,171,1971,390,1604,4.1,11,0,0.0,0,13.5,23,0,859,,,6,8,0,0.42857142857142855
Steelers,414,214,51.7,5.9,2446,15,26,55.7,0,0.0,37,322,1971,416,1758,4.2,10,0,0.0,0,11.4,15,0,867,,,6,8,0,0.42857142857142855
Cardinals,385,170,44.2,6.9,2656,14,26,51.6,0,0.0,19,185,1971,417,1530,3.7,8,0,0.0,0,15.6,14,0,821,,,4,9,1,0.32142857142857145
Eagles,390,200,51.3,6.5,2552,13,20,61.8,0,0.0,26,229,1971,407,1248,3.1,6,0,0.0,0,12.8,13,0,823,,,6,7,1,0.4642857142857143
Jets,278,119,42.8,5.6,1556,15,16,55.1,0,0.0,23,177,1971,485,1888,3.9,12,0,0.0,0,13.1,15,0,786,,,6,8,0,0.42857142857142855
Giants,462,268,58.0,6.6,3062,14,25,65.6,0,0.0,40,348,1971,394,1461,3.7,11,0,0.0,0,11.4,14,0,896,,,4,10,0,0.2857142857142857
Saints,387,182,47.0,6.1,2355,12,14,61.9,0,0.0,50,400,1971,452,1711,3.8,18,0,0.0,0,12.9,12,0,889,,,4,8,2,0.35714285714285715
Patriots,330,159,48.2,6.7,2206,19,16,69.1,0,0.0,36,319,1971,419,1669,4.0,7,0,0.0,0,13.9,19,0,785,,,6,8,0,0.42857142857142855
Vikings,334,157,47.0,5.7,1910,9,18,51.6,0,0.0,28,255,1971,484,1695,3.5,14,0,0.0,0,12.2,9,0,846,,,11,3,0,0.7857142857142857
Dolphins,293,156,53.2,7.7,2248,20,10,87.0,0,0.0,25,265,1971,486,2429,5.0,11,0,0.0,0,14.4,20,0,804,,,10,3,1,0.75
Raiders,348,174,50.0,6.8,2363,21,26,61.0,0,0.0,24,235,1971,473,2130,4.5,19,0,0.0,0,13.6,21,0,845,,,8,4,2,0.6428571428571429
Rams,370,185,50.0,6.2,2304,18,11,73.5,0,0.0,26,210,1971,460,2139,4.7,15,0,0.0,0,12.5,18,0,856,,,8,5,1,0.6071428571428571
Chiefs,337,183,54.3,8.0,2694,15,13,79.4,0,0.0,35,347,1971,487,1843,3.8,14,0,0.0,0,14.7,15,0,859,,,10,3,1,0.75
Colts,344,176,51.2,6.3,2152,10,21,55.0,0,0.0,27,230,1971,512,2149,4.2,23,0,0.0,0,12.2,10,0,883,,,10,4,0,0.7142857142857143
Oilers,423,194,45.9,6.2,2643,12,37,39.3,0,0.0,31,234,1971,361,1106,3.1,10,0,0.0,0,13.6,12,0,815,,,4,9,1,0.32142857142857145
Packers,254,121,47.6,7.3,1842,12,24,48.4,0,0.0,18,157,1971,500,2229,4.5,18,0,0.0,0,15.2,12,0,772,,,4,8,2,0.35714285714285715
Lions,299,157,52.5,8.2,2453,17,14,79.5,0,0.0,31,252,1971,532,2376,4.5,15,0,0.0,0,15.6,17,0,862,,,7,6,1,0.5357142857142857
Broncos,358,175,48.9,6.3,2243,8,27,44.9,0,0.0,22,178,1971,512,2093,4.1,9,0,0.0,0,12.8,8,0,892,,,4,9,1,0.32142857142857145
Cowboys,361,206,57.1,8.4,3037,22,14,88.8,0,0.0,32,251,1971,512,2249,4.4,25,0,0.0,0,14.7,22,0,905,,,11,3,0,0.7857142857142857
Browns,376,188,50.0,6.7,2521,14,27,54.2,0,0.0,22,222,1971,461,1558,3.4,19,0,0.0,0,13.4,14,0,859,,,9,5,0,0.6428571428571429
Bengals,365,214,58.6,6.6,2427,15,11,79.8,0,0.0,40,303,1971,462,2142,4.6,14,0,0.0,0,11.3,15,0,867,,,4,10,0,0.2857142857142857
Bears,443,186,42.0,5.2,2294,12,28,41.3,0,0.0,49,392,1971,365,1434,3.9,6,0,0.0,0,12.3,12,0,857,,,6,8,0,0.42857142857142855
Bills,401,202,50.4,6.0,2410,12,32,45.8,0,0.0,49,421,1971,320,1337,4.2,6,0,0.0,0,11.9,12,0,770,,,1,13,0,0.07142857142857142
Falcons,285,167,58.6,8.8,2495,16,21,75.4,0,0.0,31,239,1971,494,1703,3.4,12,0,0.0,0,14.9,16,0,810,,,7,6,1,0.5357142857142857
Redskins,284,159,56.0,8.0,2281,21,15,84.8,0,0.0,11,88,1972,513,2082,4.1,17,0,0.0,0,14.3,21,0,808,,,11,3,0,0.7857142857142857
49ers,380,217,57.1,7.6,2888,27,24,78.7,0,0.0,22,153,1972,445,1616,3.6,11,0,0.0,0,13.3,27,0,847,,,8,5,1,0.6071428571428571
Chargers,377,192,50.9,6.7,2516,15,28,54.6,0,0.0,23,212,1972,504,1995,4.0,12,0,0.0,0,13.1,15,0,904,,,4,9,1,0.32142857142857145
Steelers,324,156,48.1,6.0,1958,12,12,64.3,0,0.0,32,247,1972,497,2520,5.1,22,0,0.0,0,12.6,12,0,853,,,11,3,0,0.7857142857142857
Cardinals,363,171,47.1,6.2,2259,11,23,51.0,0,0.0,30,221,1972,361,1229,3.4,9,0,0.0,0,13.2,11,0,754,,,4,9,1,0.32142857142857145
Eagles,375,184,49.1,6.7,2527,10,20,57.7,0,0.0,53,457,1972,398,1393,3.5,2,0,0.0,0,13.7,10,0,826,,,2,11,1,0.17857142857142858
Jets,347,172,49.6,8.4,2930,21,22,72.3,0,0.0,17,153,1972,461,2010,4.4,18,0,0.0,0,17.0,21,0,825,,,7,7,0,0.5
