Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Redskins,0,0,0,0,0,0,0,0,855,1971
49ers,0,0,0,0,0,0,0,0,787,1971
Chargers,0,0,0,0,0,0,0,0,859,1971
Steelers,0,0,0,0,0,0,0,0,881,1971
Cardinals,0,0,0,0,0,0,0,0,881,1971
Eagles,0,0,0,0,0,0,0,0,889,1971
Jets,0,0,0,0,0,0,0,0,841,1971
Giants,0,0,0,0,0,0,0,0,800,1971
Saints,0,0,0,0,0,0,0,0,852,1971
Patriots,0,0,0,0,0,0,0,0,856,1971
Vikings,0,0,0,0,0,0,0,0,879,1971
Dolphins,0,0,0,0,0,0,0,0,800,1971
Raiders,0,0,0,0,0,0,0,0,871,1971
Rams,0,0,0,0,0,0,0,0,879,1971
Chiefs,0,0,0,0,0,0,0,0,813,1971
Colts,0,0,0,0,0,0,0,0,746,1971
Oilers,0,0,0,0,0,0,0,0,880,1971
Packers,0,0,0,0,0,0,0,0,861,1971
Lions,0,0,0,0,0,0,0,0,756,1971
Broncos,0,0,0,0,0,0,0,0,826,1971
Cowboys,0,0,0,0,0,0,0,0,817,1971
Browns,0,0,0,0,0,0,0,0,848,1971
Bengals,0,0,0,0,0,0,0,0,811,1971
Bears,0,0,0,0,0,0,0,0,899,1971
Bills,0,0,0,0,0,0,0,0,895,1971
Falcons,0,0,0,0,0,0,0,0,874,1971
Redskins,0,0,0,0,0,0,0,0,829,1972
49ers,0,0,0,0,0,0,0,0,858,1972
Chargers,0,0,0,0,0,0,0,0,819,1972
Steelers,0,0,0,0,0,0,0,0,896,1972
Cardinals,0,0,0,0,0,0,0,0,935,1972
Eagles,0,0,0,0,0,0,0,0,879,1972
Jets,0,0,0,0,0,0,0,0,866,1972
Giants,0,0,0,0,0,0,0,0,772,1972
Saints,0,0,0,0,0,0,0,0,873,1972
Patriots,0,0,0,0,0,0,0,0,889,1972
Vikings,0,0,0,0,0,0,0,0,806,1972
Dolphins,0,0,0,0,0,0,0,0,770,1972
Raiders,0,0,0,0,0,0,0,0,844,1972
Rams,0,0,0,0,0,0,0,0,843,1972
Chiefs,0,0,0,0,0,0,0,0,853,1972
Colts,0,0,0,0,0,0,0,0,853,1972
Oilers,0,0,0,0,0,0,0,0,894,1972
Packers,0,0,0,0,0,0,0,0,812,1972
Lions,0,0,0,0,0,0,0,0,824,1972
Broncos,0,0,0,0,0,0,0,0,877,1972
Cowboys,0,0,0,0,0,0,0,0,842,1972
Browns,0,0,0,0,0,0,0,0,868,1972
Bengals,0,0,0,0,0,0,0,0,794,1972
Bears,0,0,0,0,0,0,0,0,841,1972
Bills,0,0,0,0,0,0,0,0,862,1972
Falcons,0,0,0,0,0,0,0,0,829,1972
Redskins,0,0,0,0,0,0,0,0,939,1973
49ers,0,0,0,0,0,0,0,0,928,1973
Chargers,0,0,0,0,0,0,0,0,926,1973
