Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Redskins,411,191,46.5,6,2127,11,29,45.1,0,0,0,0,0,36,1971
49ers,341,152,44.6,6.8,2011,17,14,67,0,0,0,0,0,38,1971
Chargers,347,193,55.6,7,2262,15,22,65.7,0,0,0,0,0,19,1971
Steelers,408,235,57.6,7.5,2766,16,17,77,0,0,0,0,0,33,1971
Cardinals,375,212,56.5,6.8,2380,12,17,69.3,0,0,0,0,0,20,1971
Eagles,407,220,54.1,7.3,2660,16,22,68.1,0,0,0,0,0,32,1971
Jets,342,163,47.7,6.7,2055,17,13,70.4,0,0,0,0,0,27,1971
Giants,333,173,52,7.4,2307,25,15,82.4,0,0,0,0,0,18,1971
Saints,333,175,52.6,7.4,2238,20,20,71.8,0,0,0,0,0,24,1971
Patriots,350,170,48.6,6.9,2154,16,15,68.5,0,0,0,0,0,25,1971
Vikings,405,206,50.9,5,1806,10,27,45.7,0,0,0,0,0,27,1971
Dolphins,363,206,56.7,6.3,2000,10,17,65.4,0,0,0,0,0,34,1971
Raiders,359,184,51.3,7.3,2386,15,23,62.3,0,0,0,0,0,32,1971
Rams,387,200,51.7,7,2379,15,27,58,0,0,0,0,0,37,1971
Chiefs,418,209,50,6.5,2468,11,27,52.6,0,0,0,0,0,28,1971
Colts,361,185,51.2,5.6,1739,9,28,44.2,0,0,0,0,0,33,1971
Oilers,354,180,50.8,6.8,2072,11,23,56.2,0,0,0,0,0,37,1971
Packers,353,186,52.7,7,2301,21,16,76.1,0,0,0,0,0,19,1971
Lions,306,163,53.3,7.1,2017,17,22,64.5,0,0,0,0,0,18,1971
Broncos,356,150,42.1,6.8,1985,18,20,59,0,0,0,0,0,44,1971
Cowboys,421,209,49.6,6.3,2324,15,26,55.9,0,0,0,0,0,43,1971
Browns,339,156,46,6.4,1967,12,24,49.4,0,0,0,0,0,25,1971
Bengals,335,157,46.9,7.1,2128,19,27,56.1,0,0,0,0,0,30,1971
