Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Redskins,191,2448,12.8,11,0,0,0,0,0,0,0,1971
49ers,152,2309,15.2,17,0,0,0,0,0,0,0,1971
Chargers,193,2439,12.6,15,0,0,0,0,0,0,0,1971
Steelers,235,3060,13,16,0,0,0,0,0,0,0,1971
Cardinals,212,2546,12,12,0,0,0,0,0,0,0,1971
Eagles,220,2971,13.5,16,0,0,0,0,0,0,0,1971
Jets,163,2285,14,17,0,0,0,0,0,0,0,1971
Giants,173,2458,14.2,25,0,0,0,0,0,0,0,1971
Saints,175,2472,14.1,20,0,0,0,0,0,0,0,1971
Patriots,170,2403,14.1,16,0,0,0,0,0,0,0,1971
Vikings,206,2022,9.8,10,0,0,0,0,0,0,0,1971
Dolphins,206,2293,11.1,10,0,0,0,0,0,0,0,1971
Raiders,184,2609,14.2,15,0,0,0,0,0,0,0,1971
Rams,200,2693,13.5,15,0,0,0,0,0,0,0,1971
Chiefs,209,2703,12.9,11,0,0,0,0,0,0,0,1971
Colts,185,2027,11,9,0,0,0,0,0,0,0,1971
Oilers,180,2416,13.4,11,0,0,0,0,0,0,0,1971
Packers,186,2469,13.3,21,0,0,0,0,0,0,0,1971
Lions,163,2163,13.3,17,0,0,0,0,0,0,0,1971
Broncos,150,2420,16.1,18,0,0,0,0,0,0,0,1971
Cowboys,209,2660,12.7,15,0,0,0,0,0,0,0,1971
Browns,156,2170,13.9,12,0,0,0,0,0,0,0,1971
Bengals,157,2382,15.2,19,0,0,0,0,0,0,0,1971
Bears,192,2607,13.6,12,0,0,0,0,0,0,0,1971
Bills,157,2333,14.9,20,0,0,0,0,0,0,0,1971
Falcons,164,1895,11.6,9,0,0,0,0,0,0,0,1971
Redskins,186,2130,11.5,10,0,0,0,0,0,0,0,1972
49ers,169,2582,15.3,14,0,0,0,0,0,0,0,1972
Chargers,201,2441,12.1,18,0,0,0,0,0,0,0,1972
Steelers,206,2393,11.6,9,0,0,0,0,0,0,0,1972
Cardinals,221,2733,12.4,15,0,0,0,0,0,0,0,1972
Eagles,175,2615,14.9,20,0,0,0,0,0,0,0,1972
Jets,186,2888,15.5,18,0,0,0,0,0,0,0,1972
Giants,182,2571,14.1,19,0,0,0,0,0,0,0,1972
Saints,213,2596,12.2,21,0,0,0,0,0,0,0,1972
Patriots,175,2634,15.1,24,0,0,0,0,0,0,0,1972
Vikings,169,1791,10.6,13,0,0,0,0,0,0,0,1972
Dolphins,178,2029,11.4,10,0,0,0,0,0,0,0,1972
Raiders,166,2363,14.2,14,0,0,0,0,0,0,0,1972
Rams,181,2472,13.7,20,0,0,0,0,0,0,0,1972
Chiefs,186,2483,13.3,17,0,0,0,0,0,0,0,1972
Colts,178,2555,14.4,15,0,0,0,0,0,0,0,1972
Oilers,174,2315,13.3,12,0,0,0,0,0,0,0,1972
Packers,174,2209,12.7,7,0,0,0,0,0,0,0,1972
Lions,171,2146,12.5,18,0,0,0,0,0,0,0,1972
Broncos,206,2540,12.3,19,0,0,0,0,0,0,0,1972
Cowboys,187,2508,13.4,18,0,0,0,0,0,0,0,1972
Browns,160,1994,12.5,14,0,0,0,0,0,0,0,1972
Bengals,167,2033,12.2,11,0,0,0,0,0,0,0,1972
Bears,180,2345,13,16,0,0,0,0,0,0,0,1972
Bills,131,2148,16.4,19,0,0,0,0,0,0,0,1972
Falcons,137,1911,13.9,13,0,0,0,0,0,0,0,1972
Redskins,203,2531,12.5,12,0,0,0,0,0,0,0,1973
49ers,194,2591,13.4,19,0,0,0,0,0,0,0,1973
Chargers,177,2473,14,18,0,0,0,0,0,0,0,1973
Steelers,164,1923,11.7,11,0,0,0,0,0,0,0,1973
Cardinals,252,3226,12.8,23,0,0,0,0,0,0,0,1973
Eagles,219,2789,12.7,22,0,0,0,0,0,0,0,1973
Jets,150,2148,14.3,18,0,0,0,0,0,0,0,1973
Giants,161,2252,14,17,0,0,0,0,0,0,0,1973
Saints,176,2333,13.3,15,0,0,0,0,0,0,0,1973
Patriots,134,1600,11.9,11,0,0,0,0,0,0,0,1973
Vikings,198,2124,10.7,8,0,0,0,0,0,0,0,1973
Dolphins,151,1604,10.6,5,0,0,0,0,0,0,0,1973
Raiders,170,1995,11.7,12,0,0,0,0,0,0,0,1973
Rams,179,2023,11.3,10,0,0,0,0,0,0,0,1973
Chiefs,157,1942,12.4,11,0,0,0,0,0,0,0,1973
Colts,199,2599,13.1,16,0,0,0,0,0,0,0,1973
Oilers,178,2466,13.9,26,0,0,0,0,0,0,0,1973
Packers,180,2050,11.4,14,0,0,0,0,0,0,0,1973
Lions,173,2058,11.9,15,0,0,0,0,0,0,0,1973
