Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Redskins,408,1396,3.4,7,0,0,0,0,0,0,1971
49ers,408,1668,4.1,4,0,0,0,0,0,0,1971
Chargers,493,2296,4.7,25,0,0,0,0,0,0,1971
Steelers,440,1482,3.4,13,0,0,0,0,0,0,1971
Cardinals,486,1985,4.1,10,0,0,0,0,0,0,1971
Eagles,450,1962,4.4,16,0,0,0,0,0,0,1971
Jets,472,2302,4.9,18,0,0,0,0,0,0,1971
Giants,449,2059,4.6,12,0,0,0,0,0,0,1971
Saints,495,2200,4.4,18,0,0,0,0,0,0,1971
Patriots,481,1918,4,14,0,0,0,0,0,0,1971
Vikings,447,1600,3.6,2,0,0,0,0,0,0,1971
Dolphins,403,1661,4.1,10,0,0,0,0,0,0,1971
Raiders,480,1751,3.6,14,0,0,0,0,0,0,1971
Rams,455,1658,3.6,11,0,0,0,0,0,0,1971
Chiefs,367,1300,3.5,9,0,0,0,0,0,0,1971
Colts,352,1113,3.2,8,0,0,0,0,0,0,1971
Oilers,489,1723,3.5,22,0,0,0,0,0,0,1971
Packers,489,1707,3.5,7,0,0,0,0,0,0,1971
Lions,432,1842,4.3,15,0,0,0,0,0,0,1971
Broncos,426,1834,4.3,11,0,0,0,0,0,0,1971
Cowboys,353,1144,3.2,8,0,0,0,0,0,0,1971
Browns,484,2227,4.6,14,0,0,0,0,0,0,1971
Bengals,446,1778,4,11,0,0,0,0,0,0,1971
Bears,509,2116,4.2,14,0,0,0,0,0,0,1971
Bills,562,2496,4.4,21,0,0,0,0,0,0,1971
Falcons,500,2149,4.3,19,0,0,0,0,0,0,1971
Redskins,427,1733,4.1,12,0,0,0,0,0,0,1972
49ers,446,1847,4.1,12,0,0,0,0,0,0,1972
Chargers,435,1673,3.8,18,0,0,0,0,0,0,1972
Steelers,445,1715,3.9,6,0,0,0,0,0,0,1972
Cardinals,548,2189,4,11,0,0,0,0,0,0,1972
Eagles,544,2266,4.2,22,0,0,0,0,0,0,1972
Jets,476,2072,4.4,16,0,0,0,0,0,0,1972
Giants,402,1855,4.6,9,0,0,0,0,0,0,1972
Saints,482,2089,4.3,15,0,0,0,0,0,0,1972
Patriots,548,2717,5,27,0,0,0,0,0,0,1972
Vikings,454,2002,4.4,13,0,0,0,0,0,0,1972
Dolphins,389,1548,4,8,0,0,0,0,0,0,1972
Raiders,469,1764,3.8,9,0,0,0,0,0,0,1972
Rams,438,1762,4,9,0,0,0,0,0,0,1972
Chiefs,453,1805,4,12,0,0,0,0,0,0,1972
Colts,515,1989,3.9,15,0,0,0,0,0,0,1972
Oilers,546,2591,4.7,23,0,0,0,0,0,0,1972
Packers,443,1517,3.4,14,0,0,0,0,0,0,1972
Lions,491,2204,4.5,14,0,0,0,0,0,0,1972
Broncos,439,1668,3.8,15,0,0,0,0,0,0,1972
Cowboys,428,1515,3.5,7,0,0,0,0,0,0,1972
Browns,520,2333,4.5,13,0,0,0,0,0,0,1972
Bengals,406,1815,4.5,11,0,0,0,0,0,0,1972
Bears,476,1751,3.7,11,0,0,0,0,0,0,1972
Bills,532,2241,4.2,26,0,0,0,0,0,0,1972
Falcons,504,2063,4.1,16,0,0,0,0,0,0,1972
Redskins,480,1603,3.3,8,0,0,0,0,0,0,1973
49ers,513,1963,3.8,11,0,0,0,0,0,0,1973
Chargers,559,2264,4.1,23,0,0,0,0,0,0,1973
