Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Redskins,0,0,0,0,0,1971,29,5,480,0
49ers,0,0,0,0,0,1971,14,0,186,0
Chargers,0,0,0,0,0,1971,22,2,317,0
Steelers,0,0,0,0,0,1971,17,1,246,0
Cardinals,0,0,0,0,0,1971,17,1,191,0
Eagles,0,0,0,0,0,1971,22,1,374,0
Jets,0,0,0,0,0,1971,13,0,136,0
Giants,0,0,0,0,0,1971,15,1,227,0
Saints,0,0,0,0,0,1971,20,1,342,0
Patriots,0,0,0,0,0,1971,15,2,229,0
Vikings,0,0,0,0,0,1971,27,1,572,0
Dolphins,0,0,0,0,0,1971,17,0,143,0
Raiders,0,0,0,0,0,1971,23,2,453,0
Rams,0,0,0,0,0,1971,27,2,452,0
Chiefs,0,0,0,0,0,1971,27,3,403,0
Colts,0,0,0,0,0,1971,28,1,367,0
Oilers,0,0,0,0,0,1971,23,5,456,0
Packers,0,0,0,0,0,1971,16,0,205,0
Lions,0,0,0,0,0,1971,22,3,295,0
Broncos,0,0,0,0,0,1971,20,1,288,0
Cowboys,0,0,0,0,0,1971,26,0,402,0
Browns,0,0,0,0,0,1971,24,0,283,0
Bengals,0,0,0,0,0,1971,27,2,273,0
Bears,0,0,0,0,0,1971,22,0,267,0
Bills,0,0,0,0,0,1971,11,0,93,0
Falcons,0,0,0,0,0,1971,20,1,180,0
Redskins,0,0,0,0,0,1972,17,1,287,0
49ers,0,0,0,0,0,1972,19,3,146,0
Chargers,0,0,0,0,0,1972,24,1,310,0
Steelers,0,0,0,0,0,1972,28,1,395,0
Cardinals,0,0,0,0,0,1972,11,0,118,0
Eagles,0,0,0,0,0,1972,19,0,164,0
Jets,0,0,0,0,0,1972,19,0,282,0
Giants,0,0,0,0,0,1972,23,2,205,0
Saints,0,0,0,0,0,1972,14,0,141,0
Patriots,0,0,0,0,0,1972,10,0,223,0
Vikings,0,0,0,0,0,1972,26,2,365,0
Dolphins,0,0,0,0,0,1972,26,1,286,0
Raiders,0,0,0,0,0,1972,25,1,328,0
Rams,0,0,0,0,0,1972,16,1,251,0
Chiefs,0,0,0,0,0,1972,24,5,396,0
Colts,0,0,0,0,0,1972,23,1,331,0
