Year,Team,W,L,T
2019,Packers,13,3,0
2018,Packers,6,9,1
2017,Packers,7,9,0
2016,Packers,10,6,0
2015,Packers,10,6,0
2014,Packers,12,4,0
2013,Packers,8,7,1
2012,Packers,11,5,0
2011,Packers,15,1,0
2010,Packers,10,6,0
2009,Packers,11,5,0
2008,Packers,6,10,0
2007,Packers,13,3,0
2006,Packers,8,8,0
2005,Packers,4,12,0
2004,Packers,10,6,0
2003,Packers,10,6,0
2002,Packers,12,4,0
2001,Packers,12,4,0
2000,Packers,9,7,0
1999,Packers,8,8,0
1998,Packers,11,5,0
1997,Packers,13,3,0
1996,Packers,13,3,0
1995,Packers,11,5,0
1994,Packers,9,7,0
1993,Packers,9,7,0
1992,Packers,9,7,0
1991,Packers,4,12,0
1990,Packers,6,10,0
1989,Packers,10,6,0
1988,Packers,4,12,0
1987,Packers,5,9,1
1986,Packers,4,12,0
1985,Packers,8,8,0
1984,Packers,8,8,0
1983,Packers,8,8,0
1982,Packers,5,3,1
1981,Packers,8,8,0
1980,Packers,5,10,1
1979,Packers,5,11,0
1978,Packers,8,7,1
1977,Packers,4,10,0
1976,Packers,5,9,0
1975,Packers,4,10,0
1974,Packers,6,8,0
1973,Packers,5,7,2
1972,Packers,10,4,0
1971,Packers,4,8,2
2019,Bears,8,8,0
2018,Bears,12,4,0
2017,Bears,5,11,0
2016,Bears,3,13,0
2015,Bears,6,10,0
2014,Bears,5,11,0
2013,Bears,8,8,0
2012,Bears,10,6,0
2011,Bears,8,8,0
2010,Bears,11,5,0
2009,Bears,7,9,0
2008,Bears,9,7,0
2007,Bears,7,9,0
2006,Bears,13,3,0
2005,Bears,11,5,0
2004,Bears,5,11,0
2003,Bears,7,9,0
2002,Bears,4,12,0
2001,Bears,13,3,0
2000,Bears,5,11,0
1999,Bears,6,10,0
1998,Bears,4,12,0
1997,Bears,4,12,0
1996,Bears,7,9,0
1995,Bears,9,7,0
1994,Bears,9,7,0
1993,Bears,7,9,0
1992,Bears,5,11,0
1991,Bears,11,5,0
1990,Bears,11,5,0
1989,Bears,6,10,0
1988,Bears,12,4,0
1987,Bears,11,4,0
1986,Bears,14,2,0
1985,Bears,15,1,0
1984,Bears,10,6,0
1983,Bears,8,8,0
1982,Bears,3,6,0
1981,Bears,6,10,0
1980,Bears,7,9,0
1979,Bears,10,6,0
1978,Bears,7,9,0
1977,Bears,9,5,0
1976,Bears,7,7,0
1975,Bears,4,10,0
1974,Bears,4,10,0
1973,Bears,3,11,0
1972,Bears,4,9,1
1971,Bears,6,8,0
2019,Vikings,10,6,0
2018,Vikings,8,7,1
2017,Vikings,13,3,0
2016,Vikings,8,8,0
2015,Vikings,11,5,0
2014,Vikings,7,9,0
2013,Vikings,5,10,1
2012,Vikings,10,6,0
2011,Vikings,3,13,0
2010,Vikings,6,10,0
2009,Vikings,12,4,0
2008,Vikings,10,6,0
2007,Vikings,8,8,0
2006,Vikings,6,10,0
2005,Vikings,9,7,0
2004,Vikings,8,8,0
2003,Vikings,9,7,0
2002,Vikings,6,10,0
2001,Vikings,5,11,0
2000,Vikings,11,5,0
1999,Vikings,10,6,0
1998,Vikings,15,1,0
1997,Vikings,9,7,0
1996,Vikings,9,7,0
1995,Vikings,8,8,0
1994,Vikings,10,6,0
1993,Vikings,9,7,0
1992,Vikings,11,5,0
1991,Vikings,8,8,0
1990,Vikings,6,10,0
1989,Vikings,10,6,0
1988,Vikings,11,5,0
1987,Vikings,8,7,0
1986,Vikings,9,7,0
1985,Vikings,7,9,0
1984,Vikings,3,13,0
1983,Vikings,8,8,0
1982,Vikings,5,4,0
1981,Vikings,7,9,0
1980,Vikings,9,7,0
1979,Vikings,7,9,0
1978,Vikings,8,7,1
1977,Vikings,9,5,0
1976,Vikings,11,2,1
1975,Vikings,12,2,0
1974,Vikings,10,4,0
1973,Vikings,12,2,0
1972,Vikings,7,7,0
1971,Vikings,11,3,0
2020,Lions,5,9,0
2019,Lions,3,12,1
2018,Lions,6,10,0
2017,Lions,9,7,0
2016,Lions,9,7,0
2015,Lions,7,9,0
2014,Lions,11,5,0
2013,Lions,7,9,0
2012,Lions,4,12,0
2011,Lions,10,6,0
2010,Lions,6,10,0
2009,Lions,2,14,0
2008,Lions,0,16,0
2007,Lions,7,9,0
2006,Lions,3,13,0
2005,Lions,5,11,0
2004,Lions,6,10,0
2003,Lions,5,11,0
2002,Lions,3,13,0
2001,Lions,2,14,0
2000,Lions,9,7,0
1999,Lions,8,8,0
1998,Lions,5,11,0
1997,Lions,9,7,0
1996,Lions,5,11,0
1995,Lions,10,6,0
1994,Lions,9,7,0
1993,Lions,10,6,0
1992,Lions,5,11,0
1991,Lions,12,4,0
1990,Lions,6,10,0
1989,Lions,7,9,0
1988,Lions,4,12,0
1987,Lions,4,11,0
1986,Lions,5,11,0
1985,Lions,7,9,0
1984,Lions,4,11,1
1983,Lions,9,7,0
1982,Lions,4,5,0
1981,Lions,8,8,0
1980,Lions,9,7,0
1979,Lions,2,14,0
1978,Lions,7,9,0
1977,Lions,6,8,0
1976,Lions,6,8,0
1975,Lions,7,7,0
1974,Lions,7,7,0
1973,Lions,6,7,1
1972,Lions,8,5,1
1971,Lions,7,6,1
2019,Seahawks,11,5,0
2018,Seahawks,10,6,0
2017,Seahawks,9,7,0
2016,Seahawks,10,5,1
2015,Seahawks,10,6,0
2014,Seahawks,12,4,0
2013,Seahawks,13,3,0
2012,Seahawks,11,5,0
2011,Seahawks,7,9,0
2010,Seahawks,7,9,0
2009,Seahawks,5,11,0
2008,Seahawks,4,12,0
2007,Seahawks,10,6,0
2006,Seahawks,9,7,0
2005,Seahawks,13,3,0
2004,Seahawks,9,7,0
2003,Seahawks,10,6,0
2002,Seahawks,7,9,0
2001,Seahawks,9,7,0
2000,Seahawks,6,10,0
1999,Seahawks,9,7,0
1998,Seahawks,8,8,0
1997,Seahawks,8,8,0
1996,Seahawks,7,9,0
1995,Seahawks,8,8,0
1994,Seahawks,6,10,0
1993,Seahawks,6,10,0
1992,Seahawks,2,14,0
1991,Seahawks,7,9,0
1990,Seahawks,9,7,0
1989,Seahawks,7,9,0
1988,Seahawks,9,7,0
1987,Seahawks,9,6,0
1986,Seahawks,10,6,0
1985,Seahawks,8,8,0
1984,Seahawks,12,4,0
1983,Seahawks,9,7,0
1982,Seahawks,4,5,0
1981,Seahawks,6,10,0
1980,Seahawks,4,12,0
1979,Seahawks,9,7,0
1978,Seahawks,9,7,0
1977,Seahawks,5,9,0
1976,Seahawks,2,12,0
2019,Cardinals,5,10,1
2018,Cardinals,3,13,0
2017,Cardinals,8,8,0
2016,Cardinals,7,8,1
2015,Cardinals,13,3,0
2014,Cardinals,11,5,0
2013,Cardinals,10,6,0
2012,Cardinals,5,11,0
2011,Cardinals,8,8,0
2010,Cardinals,5,11,0
2009,Cardinals,10,6,0
2008,Cardinals,9,7,0
2007,Cardinals,8,8,0
2006,Cardinals,5,11,0
2005,Cardinals,5,11,0
2004,Cardinals,6,10,0
2003,Cardinals,4,12,0
2002,Cardinals,5,11,0
2001,Cardinals,7,9,0
2000,Cardinals,3,13,0
1999,Cardinals,6,10,0
1998,Cardinals,9,7,0
1997,Cardinals,4,12,0
1996,Cardinals,7,9,0
1995,Cardinals,4,12,0
1994,Cardinals,8,8,0
1993,Cardinals,7,9,0
1992,Cardinals,4,12,0
1991,Cardinals,4,12,0
1990,Cardinals,5,11,0
1989,Cardinals,5,11,0
1988,Cardinals,7,9,0
1987,Cardinals,7,8,0
1986,Cardinals,4,11,1
1985,Cardinals,5,11,0
1984,Cardinals,9,7,0
1983,Cardinals,8,7,1
1982,Cardinals,5,4,0
1981,Cardinals,7,9,0
1980,Cardinals,5,11,0
1979,Cardinals,5,11,0
1978,Cardinals,6,10,0
1977,Cardinals,7,7,0
1976,Cardinals,10,4,0
1975,Cardinals,11,3,0
1974,Cardinals,10,4,0
1973,Cardinals,4,9,1
1972,Cardinals,4,9,1
1971,Cardinals,4,9,1
2019,Rams,9,7,0
2018,Rams,13,3,0
2017,Rams,11,5,0
2016,Rams,4,12,0
2015,Rams,7,9,0
2014,Rams,6,10,0
2013,Rams,7,9,0
2012,Rams,7,8,1
2011,Rams,2,14,0
2010,Rams,7,9,0
2009,Rams,1,15,0
2008,Rams,2,14,0
2007,Rams,3,13,0
2006,Rams,8,8,0
2005,Rams,6,10,0
2004,Rams,8,8,0
2003,Rams,12,4,0
2002,Rams,7,9,0
2001,Rams,14,2,0
2000,Rams,10,6,0
1999,Rams,13,3,0
1998,Rams,4,12,0
1997,Rams,5,11,0
1996,Rams,6,10,0
1995,Rams,7,9,0
1994,Rams,4,12,0
1993,Rams,5,11,0
1992,Rams,6,10,0
1991,Rams,3,13,0
1990,Rams,5,11,0
1989,Rams,11,5,0
1988,Rams,10,6,0
1987,Rams,6,9,0
1986,Rams,10,6,0
1985,Rams,11,5,0
1984,Rams,10,6,0
1983,Rams,9,7,0
1982,Rams,2,7,0
1981,Rams,6,10,0
1980,Rams,11,5,0
1979,Rams,9,7,0
1978,Rams,12,4,0
1977,Rams,10,4,0
1976,Rams,10,3,1
1975,Rams,12,2,0
1974,Rams,10,4,0
1973,Rams,12,2,0
1972,Rams,6,7,1
1971,Rams,8,5,1
2019,49ers,13,3,0
2018,49ers,4,12,0
2017,49ers,6,10,0
2016,49ers,2,14,0
2015,49ers,5,11,0
2014,49ers,8,8,0
2013,49ers,12,4,0
2012,49ers,11,4,1
2011,49ers,13,3,0
2010,49ers,6,10,0
2009,49ers,8,8,0
2008,49ers,7,9,0
2007,49ers,5,11,0
2006,49ers,7,9,0
2005,49ers,4,12,0
2004,49ers,2,14,0
2003,49ers,7,9,0
2002,49ers,10,6,0
2001,49ers,12,4,0
2000,49ers,6,10,0
1999,49ers,4,12,0
1998,49ers,12,4,0
1997,49ers,13,3,0
1996,49ers,12,4,0
1995,49ers,11,5,0
1994,49ers,13,3,0
1993,49ers,10,6,0
1992,49ers,14,2,0
1991,49ers,10,6,0
