Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Redskins,0,0,0,0,0,0,0,0,828,1971
49ers,0,0,0,0,0,0,0,0,900,1971
Chargers,0,0,0,0,0,0,0,0,859,1971
Steelers,0,0,0,0,0,0,0,0,867,1971
Cardinals,0,0,0,0,0,0,0,0,821,1971
Eagles,0,0,0,0,0,0,0,0,823,1971
Jets,0,0,0,0,0,0,0,0,786,1971
Giants,0,0,0,0,0,0,0,0,896,1971
Saints,0,0,0,0,0,0,0,0,889,1971
Patriots,0,0,0,0,0,0,0,0,785,1971
Vikings,0,0,0,0,0,0,0,0,846,1971
Dolphins,0,0,0,0,0,0,0,0,804,1971
Raiders,0,0,0,0,0,0,0,0,845,1971
Rams,0,0,0,0,0,0,0,0,856,1971
Chiefs,0,0,0,0,0,0,0,0,859,1971
Colts,0,0,0,0,0,0,0,0,883,1971
Oilers,0,0,0,0,0,0,0,0,815,1971
Packers,0,0,0,0,0,0,0,0,772,1971
Lions,0,0,0,0,0,0,0,0,862,1971
Broncos,0,0,0,0,0,0,0,0,892,1971
Cowboys,0,0,0,0,0,0,0,0,905,1971
Browns,0,0,0,0,0,0,0,0,859,1971
Bengals,0,0,0,0,0,0,0,0,867,1971
Bears,0,0,0,0,0,0,0,0,857,1971
Bills,0,0,0,0,0,0,0,0,770,1971
Falcons,0,0,0,0,0,0,0,0,810,1971
Redskins,0,0,0,0,0,0,0,0,808,1972
49ers,0,0,0,0,0,0,0,0,847,1972
Chargers,0,0,0,0,0,0,0,0,904,1972
Steelers,0,0,0,0,0,0,0,0,853,1972
Cardinals,0,0,0,0,0,0,0,0,754,1972
Eagles,0,0,0,0,0,0,0,0,826,1972
Jets,0,0,0,0,0,0,0,0,825,1972
Giants,0,0,0,0,0,0,0,0,878,1972
Saints,0,0,0,0,0,0,0,0,829,1972
Patriots,0,0,0,0,0,0,0,0,842,1972
Vikings,0,0,0,0,0,0,0,0,883,1972
Dolphins,0,0,0,0,0,0,0,0,893,1972
Raiders,0,0,0,0,0,0,0,0,915,1972
Rams,0,0,0,0,0,0,0,0,859,1972
Chiefs,0,0,0,0,0,0,0,0,894,1972
Colts,0,0,0,0,0,0,0,0,868,1972
Oilers,0,0,0,0,0,0,0,0,817,1972
Packers,0,0,0,0,0,0,0,0,798,1972
Lions,0,0,0,0,0,0,0,0,804,1972
Broncos,0,0,0,0,0,0,0,0,831,1972
Cowboys,0,0,0,0,0,0,0,0,897,1972
Browns,0,0,0,0,0,0,0,0,817,1972
Bengals,0,0,0,0,0,0,0,0,899,1972
Bears,0,0,0,0,0,0,0,0,773,1972
Bills,0,0,0,0,0,0,0,0,877,1972
Falcons,0,0,0,0,0,0,0,0,837,1972
Redskins,0,0,0,0,0,0,0,0,862,1973
49ers,0,0,0,0,0,0,0,0,915,1973
Chargers,0,0,0,0,0,0,0,0,831,1973
Steelers,0,0,0,0,0,0,0,0,894,1973
Cardinals,0,0,0,0,0,0,0,0,837,1973
Eagles,0,0,0,0,0,0,0,0,930,1973
Jets,0,0,0,0,0,0,0,0,863,1973
Giants,0,0,0,0,0,0,0,0,896,1973
Saints,0,0,0,0,0,0,0,0,872,1973
Patriots,0,0,0,0,0,0,0,0,871,1973
Vikings,0,0,0,0,0,0,0,0,868,1973
Dolphins,0,0,0,0,0,0,0,0,776,1973
Raiders,0,0,0,0,0,0,0,0,945,1973
Rams,0,0,0,0,0,0,0,0,947,1973
Chiefs,0,0,0,0,0,0,0,0,863,1973
Colts,0,0,0,0,0,0,0,0,868,1973
Oilers,0,0,0,0,0,0,0,0,840,1973
Packers,0,0,0,0,0,0,0,0,809,1973
Lions,0,0,0,0,0,0,0,0,850,1973
Broncos,0,0,0,0,0,0,0,0,892,1973
Cowboys,0,0,0,0,0,0,0,0,906,1973
Browns,0,0,0,0,0,0,0,0,859,1973
Bengals,0,0,0,0,0,0,0,0,871,1973
Bears,0,0,0,0,0,0,0,0,848,1973
Bills,0,0,0,0,0,0,0,0,849,1973
Falcons,0,0,0,0,0,0,0,0,879,1973
Redskins,0,0,0,0,0,0,0,0,908,1974
49ers,0,0,0,0,0,0,0,0,873,1974
Chargers,0,0,0,0,0,0,0,0,880,1974
Steelers,0,0,0,0,0,0,0,0,950,1974
Cardinals,0,0,0,0,0,0,0,0,873,1974
Eagles,0,0,0,0,0,0,0,0,918,1974
Jets,0,0,0,0,0,0,0,0,832,1974
Giants,0,0,0,0,0,0,0,0,854,1974
Saints,0,0,0,0,0,0,0,0,929,1974
Patriots,0,0,0,0,0,0,0,0,900,1974
Vikings,0,0,0,0,0,0,0,0,907,1974
Dolphins,0,0,0,0,0,0,0,0,884,1974
Raiders,0,0,0,0,0,0,0,0,920,1974
Rams,0,0,0,0,0,0,0,0,925,1974
Chiefs,0,0,0,0,0,0,0,0,901,1974
Colts,0,0,0,0,0,0,0,0,924,1974
Oilers,0,0,0,0,0,0,0,0,817,1974
Packers,0,0,0,0,0,0,0,0,884,1974
Lions,0,0,0,0,0,0,0,0,809,1974
Broncos,0,0,0,0,0,0,0,0,861,1974
Cowboys,0,0,0,0,0,0,0,0,974,1974
Browns,0,0,0,0,0,0,0,0,876,1974
Bengals,0,0,0,0,0,0,0,0,835,1974
Bears,0,0,0,0,0,0,0,0,866,1974
Bills,0,0,0,0,0,0,0,0,829,1974
Falcons,0,0,0,0,0,0,0,0,806,1974
Redskins,0,0,0,0,0,0,0,0,919,1975
49ers,0,0,0,0,0,0,0,0,905,1975
Chargers,0,0,0,0,0,0,0,0,821,1975
Steelers,0,0,0,0,0,0,0,0,949,1975
Cardinals,0,0,0,0,0,0,0,0,918,1975
Eagles,0,0,0,0,0,0,0,0,949,1975
Jets,0,0,0,0,0,0,0,0,919,1975
Giants,0,0,0,0,0,0,0,0,910,1975
Saints,0,0,0,0,0,0,0,0,908,1975
Patriots,0,0,0,0,0,0,0,0,912,1975
Vikings,0,0,0,0,0,0,0,0,1031,1975
Dolphins,0,0,0,0,0,0,0,0,896,1975
Raiders,0,0,0,0,0,0,0,0,1019,1975
Rams,0,0,0,0,0,0,0,0,949,1975
Chiefs,0,0,0,0,0,0,0,0,935,1975
Colts,0,0,0,0,0,0,0,0,928,1975
Oilers,0,0,0,0,0,0,0,0,900,1975
Packers,0,0,0,0,0,0,0,0,867,1975
Lions,0,0,0,0,0,0,0,0,935,1975
Broncos,0,0,0,0,0,0,0,0,964,1975
Cowboys,0,0,0,0,0,0,0,0,986,1975
Browns,0,0,0,0,0,0,0,0,915,1975
Bengals,0,0,0,0,0,0,0,0,966,1975
Bears,0,0,0,0,0,0,0,0,829,1975
Bills,0,0,0,0,0,0,0,0,964,1975
Falcons,0,0,0,0,0,0,0,0,885,1975
Redskins,0,0,0,0,0,0,0,0,956,1976
Buccaneers,0,0,0,0,0,0,0,0,859,1976
Seahawks,0,0,0,0,0,0,0,0,882,1976
49ers,0,0,0,0,0,0,0,0,916,1976
Chargers,0,0,0,0,0,0,0,0,907,1976
Steelers,0,0,0,0,0,0,0,0,957,1976
Cardinals,0,0,0,0,0,0,0,0,989,1976
Eagles,0,0,0,0,0,0,0,0,917,1976
Jets,0,0,0,0,0,0,0,0,876,1976
Giants,0,0,0,0,0,0,0,0,900,1976
Saints,0,0,0,0,0,0,0,0,885,1976
Patriots,0,0,0,0,0,0,0,0,919,1976
Vikings,0,0,0,0,0,0,0,0,1013,1976
Dolphins,0,0,0,0,0,0,0,0,874,1976
Raiders,0,0,0,0,0,0,0,0,946,1976
Rams,0,0,0,0,0,0,0,0,960,1976
Chiefs,0,0,0,0,0,0,0,0,959,1976
Colts,0,0,0,0,0,0,0,0,956,1976
Oilers,0,0,0,0,0,0,0,0,878,1976
Packers,0,0,0,0,0,0,0,0,883,1976
Lions,0,0,0,0,0,0,0,0,939,1976
Broncos,0,0,0,0,0,0,0,0,901,1976
Cowboys,0,0,0,0,0,0,0,0,958,1976
Browns,0,0,0,0,0,0,0,0,925,1976
Bengals,0,0,0,0,0,0,0,0,878,1976
Bears,0,0,0,0,0,0,0,0,880,1976
Bills,0,0,0,0,0,0,0,0,964,1976
Falcons,0,0,0,0,0,0,0,0,868,1976
Redskins,0,0,0,0,0,0,0,0,937,1977
Buccaneers,0,0,0,0,0,0,0,0,834,1977
Seahawks,0,0,0,0,0,0,0,0,869,1977
49ers,0,0,0,0,0,0,0,0,877,1977
Chargers,0,0,0,0,0,0,0,0,881,1977
Steelers,0,0,0,0,0,0,0,0,949,1977
Cardinals,0,0,0,0,0,0,0,0,888,1977
Eagles,0,0,0,0,0,0,0,0,880,1977
Jets,0,0,0,0,0,0,0,0,832,1977
Giants,0,0,0,0,0,0,0,0,905,1977
Saints,0,0,0,0,0,0,0,0,851,1977
Patriots,0,0,0,0,0,0,0,0,922,1977
Vikings,0,0,0,0,0,0,0,0,933,1977
Dolphins,0,0,0,0,0,0,0,0,866,1977
