Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Redskins,182,2391,13.1,13,0,0,0,0,0,0,1971
49ers,209,2688,12.9,18,0,0,0,0,0,0,1971
Chargers,244,3305,13.5,23,0,0,0,0,0,0,1971
Steelers,214,2446,11.4,15,0,0,0,0,0,0,1971
Cardinals,170,2656,15.6,14,0,0,0,0,0,0,1971
Eagles,200,2552,12.8,13,0,0,0,0,0,0,1971
Jets,119,1556,13.1,15,0,0,0,0,0,0,1971
Giants,268,3062,11.4,14,0,0,0,0,0,0,1971
Saints,182,2355,12.9,12,0,0,0,0,0,0,1971
Patriots,159,2206,13.9,19,0,0,0,0,0,0,1971
Vikings,157,1910,12.2,9,0,0,0,0,0,0,1971
Dolphins,156,2248,14.4,20,0,0,0,0,0,0,1971
Raiders,174,2363,13.6,21,0,0,0,0,0,0,1971
Rams,185,2304,12.5,18,0,0,0,0,0,0,1971
Chiefs,183,2694,14.7,15,0,0,0,0,0,0,1971
Colts,176,2152,12.2,10,0,0,0,0,0,0,1971
Oilers,194,2643,13.6,12,0,0,0,0,0,0,1971
Packers,121,1842,15.2,12,0,0,0,0,0,0,1971
Lions,157,2453,15.6,17,0,0,0,0,0,0,1971
Broncos,175,2243,12.8,8,0,0,0,0,0,0,1971
Cowboys,206,3037,14.7,22,0,0,0,0,0,0,1971
Browns,188,2521,13.4,14,0,0,0,0,0,0,1971
Bengals,214,2427,11.3,15,0,0,0,0,0,0,1971
Bears,186,2294,12.3,12,0,0,0,0,0,0,1971
Bills,202,2410,11.9,12,0,0,0,0,0,0,1971
Falcons,167,2495,14.9,16,0,0,0,0,0,0,1971
Redskins,159,2281,14.3,21,0,0,0,0,0,0,1972
49ers,217,2888,13.3,27,0,0,0,0,0,0,1972
Chargers,192,2516,13.1,15,0,0,0,0,0,0,1972
Steelers,156,1958,12.6,12,0,0,0,0,0,0,1972
Cardinals,171,2259,13.2,11,0,0,0,0,0,0,1972
Eagles,184,2527,13.7,10,0,0,0,0,0,0,1972
Jets,172,2930,17,21,0,0,0,0,0,0,1972
Giants,206,2537,12.3,20,0,0,0,0,0,0,1972
Saints,230,2781,12.1,18,0,0,0,0,0,0,1972
Patriots,198,2579,13,10,0,0,0,0,0,0,1972
Vikings,218,2726,12.5,19,0,0,0,0,0,0,1972
Dolphins,144,2235,15.5,17,0,0,0,0,0,0,1972
Raiders,198,2599,13.1,23,0,0,0,0,0,0,1972
Rams,184,2282,12.4,13,0,0,0,0,0,0,1972
Chiefs,217,2335,10.8,20,0,0,0,0,0,0,1972
Colts,203,2503,12.3,15,0,0,0,0,0,0,1972
Oilers,181,2045,11.3,10,0,0,0,0,0,0,1972
Packers,101,1536,15.2,7,0,0,0,0,0,0,1972
Lions,155,2283,14.7,19,0,0,0,0,0,0,1972
Broncos,201,2900,14.4,19,0,0,0,0,0,0,1972
Cowboys,196,2580,13.2,16,0,0,0,0,0,0,1972
Browns,158,2135,13.5,13,0,0,0,0,0,0,1972
Bengals,219,2513,11.5,10,0,0,0,0,0,0,1972
Bears,78,1283,16.4,9,0,0,0,0,0,0,1972
Bills,164,2012,12.3,16,0,0,0,0,0,0,1972
Falcons,157,2202,14,13,0,0,0,0,0,0,1972
Redskins,209,2560,12.2,20,0,0,0,0,0,0,1973
49ers,233,2645,11.4,9,0,0,0,0,0,0,1973
Chargers,161,2129,13.2,9,0,0,0,0,0,0,1973
Steelers,140,2157,15.4,20,0,0,0,0,0,0,1973
Cardinals,210,2592,12.3,16,0,0,0,0,0,0,1973
Eagles,275,3236,11.8,23,0,0,0,0,0,0,1973
Jets,181,2353,13,16,0,0,0,0,0,0,1973
Giants,230,2762,12,14,0,0,0,0,0,0,1973
Saints,163,1901,11.7,11,0,0,0,0,0,0,1973
Patriots,195,2581,13.2,13,0,0,0,0,0,0,1973
Vikings,179,2234,12.5,16,0,0,0,0,0,0,1973
Dolphins,133,1675,12.6,17,0,0,0,0,0,0,1973
Raiders,205,2611,12.7,16,0,0,0,0,0,0,1973
Rams,144,2107,14.6,22,0,0,0,0,0,0,1973
Chiefs,173,2039,11.8,10,0,0,0,0,0,0,1973
Colts,137,1746,12.7,14,0,0,0,0,0,0,1973
Oilers,225,2370,10.5,11,0,0,0,0,0,0,1973
Packers,119,1503,12.6,7,0,0,0,0,0,0,1973
Lions,171,2105,12.3,12,0,0,0,0,0,0,1973
Broncos,196,2706,13.8,22,0,0,0,0,0,0,1973
Cowboys,192,2602,13.6,26,0,0,0,0,0,0,1973
Browns,152,1741,11.5,10,0,0,0,0,0,0,1973
Bengals,180,2439,13.6,18,0,0,0,0,0,0,1973
Bears,136,1617,11.9,8,0,0,0,0,0,0,1973
Bills,96,1236,12.9,4,0,0,0,0,0,0,1973
Falcons,168,2362,14.1,14,0,0,0,0,0,0,1973
Redskins,254,2978,11.7,22,0,0,0,0,0,0,1974
49ers,170,2281,13.4,15,0,0,0,0,0,0,1974
Chargers,165,2479,15,12,0,0,0,0,0,0,1974
Steelers,166,2154,13,12,0,0,0,0,0,0,1974
Cardinals,201,2492,12.4,20,0,0,0,0,0,0,1974
Eagles,258,2531,9.8,14,0,0,0,0,0,0,1974
Jets,194,2631,13.6,20,0,0,0,0,0,0,1974
Giants,207,2349,11.3,12,0,0,0,0,0,0,1974
Saints,185,2037,11,10,0,0,0,0,0,0,1974
Patriots,177,2514,14.2,19,0,0,0,0,0,0,1974
Vikings,234,2909,12.4,22,0,0,0,0,0,0,1974
Dolphins,171,2313,13.5,18,0,0,0,0,0,0,1974
Raiders,186,2561,13.8,28,0,0,0,0,0,0,1974
Rams,169,2368,14,16,0,0,0,0,0,0,1974
Chiefs,211,2421,11.5,11,0,0,0,0,0,0,1974
Colts,221,2424,11,9,0,0,0,0,0,0,1974
Oilers,203,2275,11.2,12,0,0,0,0,0,0,1974
Packers,187,2162,11.6,5,0,0,0,0,0,0,1974
Lions,216,2475,11.5,11,0,0,0,0,0,0,1974
Broncos,184,2660,14.5,18,0,0,0,0,0,0,1974
Cowboys,206,2856,13.9,14,0,0,0,0,0,0,1974
Browns,179,2129,11.9,12,0,0,0,0,0,0,1974
Bengals,224,2804,12.5,18,0,0,0,0,0,0,1974
Bears,185,2079,11.2,8,0,0,0,0,0,0,1974
Bills,128,1728,13.5,14,0,0,0,0,0,0,1974
Falcons,160,1781,11.1,4,0,0,0,0,0,0,1974
Redskins,229,3092,13.5,28,0,0,96T,0,0,0,1975
49ers,234,2806,12,15,0,0,68T,0,0,0,1975
Chargers,165,1998,12.1,7,0,0,57,0,0,0,1975
Steelers,191,2544,13.3,21,0,0,59,0,0,0,1975
Cardinals,187,2619,14,20,0,0,80T,0,0,0,1975
Eagles,238,2640,11.1,19,0,0,62T,0,0,0,1975
Jets,174,2468,14.2,16,0,0,91,0,0,0,1975
Giants,193,2457,12.7,11,0,0,56,0,0,0,1975
Saints,181,1961,10.8,8,0,0,71T,0,0,0,1975
Patriots,193,2768,14.3,16,0,0,76,0,0,0,1975
Vikings,281,3121,11.1,27,0,0,46,0,0,0,1975
Dolphins,170,2196,12.9,19,0,0,79T,0,0,0,1975
Raiders,196,2625,13.4,19,0,0,53,0,0,0,1975
Rams,181,2450,13.5,14,0,0,54T,0,0,0,1975
Chiefs,217,2785,12.8,15,0,0,69T,0,0,0,1975
Colts,211,2606,12.4,19,0,0,90T,0,0,0,1975
Oilers,165,2099,12.7,14,0,0,77T,0,0,0,1975
Packers,212,2400,11.3,11,0,0,56,0,0,0,1975
Lions,183,2240,12.2,15,0,0,65T,0,0,0,1975
Broncos,210,2900,13.8,15,0,0,90T,0,0,0,1975
Cowboys,207,2835,13.7,19,0,0,62,0,0,0,1975
Browns,220,2297,10.4,7,0,0,48,0,0,0,1975
Bengals,255,3497,13.7,23,0,0,55,0,0,0,1975
Bears,191,2169,11.4,9,0,0,57,0,0,0,1975
Bills,182,2661,14.6,28,0,0,77T,0,0,0,1975
Falcons,165,2361,14.3,18,0,0,68,0,0,0,1975
Redskins,187,2288,12.2,20,0,0,53T,0,0,0,1976
Buccaneers,181,1926,10.6,9,0,0,49,0,0,0,1976
Seahawks,229,2874,12.6,13,0,0,80T,0,0,0,1976
49ers,155,1963,12.7,15,0,0,85T,0,0,0,1976
Chargers,223,2687,12,17,0,0,81T,0,0,0,1976
Steelers,143,1935,13.5,10,0,0,64,0,0,0,1976
Cardinals,220,2967,13.5,18,0,0,77T,0,0,0,1976
Eagles,182,1844,10.1,11,0,0,48T,0,0,0,1976
Jets,180,1989,11.1,7,0,0,44T,0,0,0,1976
Giants,175,2104,12,9,0,0,63T,0,0,0,1976
Saints,206,2353,11.4,8,0,0,74,0,0,0,1976
Patriots,146,1910,13.1,18,0,0,58T,0,0,0,1976
Vikings,270,3117,11.5,17,0,0,56T,0,0,0,1976
Dolphins,193,2604,13.5,15,0,0,67T,0,0,0,1976
Raiders,232,3195,13.8,33,0,0,88T,0,0,0,1976
Rams,171,2629,15.4,17,0,0,80T,0,0,0,1976
Chiefs,229,3303,14.4,15,0,0,57,0,0,0,1976
Colts,215,3221,15,24,0,0,79T,0,0,0,1976
Oilers,227,2429,10.7,17,0,0,69T,0,0,0,1976
Packers,164,2105,12.8,10,0,0,69T,0,0,0,1976
Lions,201,2630,13.1,20,0,0,74T,0,0,0,1976
Broncos,168,2510,14.9,15,0,0,71T,0,0,0,1976
Cowboys,222,2967,13.4,17,0,0,56,0,0,0,1976
Browns,209,2399,11.5,21,0,0,52,0,0,0,1976
Bengals,187,2443,13.1,21,0,0,85T,0,0,0,1976
Bears,123,1705,13.9,9,0,0,63T,0,0,0,1976
Bills,156,2084,13.4,16,0,0,58T,0,0,0,1976
Falcons,157,1809,11.5,10,0,0,50T,0,0,0,1976
Redskins,183,2284,12.5,15,0,0,59T,0,0,0,1977
Buccaneers,131,1714,13.1,3,0,0,67T,0,0,0,1977
Seahawks,175,2459,14.1,23,0,0,82T,0,0,0,1977
49ers,136,1797,13.2,9,0,0,47T,0,0,0,1977
Chargers,206,2442,11.9,11,0,0,78,0,0,0,1977
Steelers,173,2632,15.2,17,0,0,65T,0,0,0,1977
Cardinals,195,2608,13.4,14,0,0,69T,0,0,0,1977
Eagles,167,2198,13.2,18,0,0,55T,0,0,0,1977
Jets,170,2286,13.4,14,0,0,87T,0,0,0,1977
Giants,134,1762,13.1,6,0,0,82,0,0,0,1977
Saints,166,1933,11.6,13,0,0,59T,0,0,0,1977
Patriots,160,2162,13.5,17,0,0,68,0,0,0,1977
Vikings,228,2692,11.8,19,0,0,69T,0,0,0,1977
Dolphins,182,2264,12.4,22,0,0,73T,0,0,0,1977
Raiders,184,2338,12.7,21,0,0,44T,0,0,0,1977
Rams,182,2253,12.4,16,0,0,58,0,0,0,1977
Chiefs,190,2514,13.2,11,0,0,63,0,0,0,1977
Colts,224,2686,12,17,0,0,78T,0,0,0,1977
Oilers,181,2107,11.6,14,0,0,85T,0,0,0,1977
Packers,164,2013,12.3,6,0,0,95T,0,0,0,1977
Lions,191,1959,10.3,7,0,0,61,0,0,0,1977
Broncos,163,2265,13.9,15,0,0,81T,0,0,0,1977
Cowboys,215,2689,12.5,18,0,0,67,0,0,0,1977
Browns,208,2374,11.4,19,0,0,60,0,0,0,1977
Bengals,192,2550,13.3,12,0,0,94T,0,0,0,1977
Bears,161,2070,12.9,11,0,0,75T,0,0,0,1977
Bills,221,2803,12.7,12,0,0,42,0,0,0,1977
Falcons,140,1740,12.4,8,0,0,73T,0,0,0,1977
Redskins,212,2978,14,17,0,0,63,0,0,0,1978
Buccaneers,151,2171,14.4,12,0,0,66,0,0,0,1978
Seahawks,261,3401,13,15,0,0,64T,0,0,0,1978
49ers,190,2306,12.1,9,0,0,58T,0,0,0,1978
Chargers,271,3566,13.2,26,0,0,55T,0,0,0,1978
Steelers,212,2961,14,28,0,0,70,0,0,0,1978
Cardinals,252,3357,13.3,16,0,0,74,0,0,0,1978
Eagles,207,2485,12,16,0,0,56T,0,0,0,1978
Jets,193,2957,15.3,19,0,0,77T,0,0,0,1978
Giants,176,2428,13.8,13,0,0,67T,0,0,0,1978
Saints,294,3452,11.7,17,0,0,71T,0,0,0,1978
Patriots,196,3006,15.3,15,0,0,75T,0,0,0,1978
Vikings,352,3528,10,25,0,0,58T,0,0,0,1978
Dolphins,226,2707,12,24,0,0,63T,0,0,0,1978
Raiders,251,3095,12.3,16,0,0,49,0,0,0,1978
Rams,236,3109,13.2,13,0,0,68T,0,0,0,1978
Chiefs,204,2032,10,7,0,0,44,0,0,0,1978
Colts,202,2543,12.6,17,0,0,78T,0,0,0,1978
Oilers,201,2473,12.3,16,0,0,80T,0,0,0,1978
Packers,180,2358,13.1,11,0,0,58T,0,0,0,1978
Lions,247,2746,11.1,19,0,0,47,0,0,0,1978
Broncos,217,2710,12.5,17,0,0,42T,0,0,0,1978
Cowboys,251,3405,13.6,25,0,0,91T,0,0,0,1978
Browns,236,3137,13.3,22,0,0,69T,0,0,0,1978
Bengals,250,3039,12.2,14,0,0,57,0,0,0,1978
Bears,186,2221,11.9,7,0,0,61,0,0,0,1978
Bills,203,2503,12.3,21,0,0,92T,0,0,0,1978
Falcons,221,2883,13,11,0,0,71,0,0,0,1978
Redskins,235,2839,12.1,20,0,0,62,0,0,0,1979
Buccaneers,183,2700,14.8,19,0,0,66T,0,0,0,1979
Seahawks,292,3791,13,20,0,0,65T,0,0,0,1979
49ers,361,3760,10.4,18,0,0,50,0,0,0,1979
Chargers,338,4138,12.2,24,0,0,65T,0,0,0,1979
Steelers,272,3877,14.3,26,0,0,65T,0,0,0,1979
Cardinals,248,2870,11.6,12,0,0,78T,0,0,0,1979
Eagles,209,2882,13.8,21,0,0,53T,0,0,0,1979
Jets,190,2864,15.1,16,0,0,72T,0,0,0,1979
Giants,190,2419,12.7,15,0,0,61,0,0,0,1979
Saints,257,3291,12.8,16,0,0,85,0,0,0,1979
Patriots,237,3600,15.2,30,0,0,63T,0,0,0,1979
Vikings,315,3397,10.8,23,0,0,55T,0,0,0,1979
Dolphins,235,3018,12.8,20,0,0,53,0,0,0,1979
Raiders,311,3704,11.9,27,0,0,66T,0,0,0,1979
Rams,242,3032,12.5,19,0,0,71T,0,0,0,1979
Chiefs,190,1953,10.3,7,0,0,40,0,0,0,1979
Colts,313,3575,11.4,18,0,0,67T,0,0,0,1979
Oilers,195,2494,12.8,17,0,0,55T,0,0,0,1979
Packers,240,3057,12.7,15,0,0,78T,0,0,0,1979
Lions,218,2775,12.7,14,0,0,82,0,0,0,1979
Broncos,260,3433,13.2,18,0,0,64T,0,0,0,1979
Cowboys,287,3883,13.5,29,0,0,75T,0,0,0,1979
Browns,289,3838,13.3,28,0,0,74,0,0,0,1979
Bengals,228,2821,12.4,17,0,0,73T,0,0,0,1979
Bears,195,2429,12.5,16,0,0,68T,0,0,0,1979
Bills,241,3603,15,14,0,0,84T,0,0,0,1979
Falcons,251,3127,12.5,19,0,0,57,0,0,0,1979
Redskins,284,3171,11.2,17,0,0,54T,0,0,0,1980
Buccaneers,256,3414,13.3,20,0,0,61,0,0,0,1980
Seahawks,287,3494,12.2,18,0,0,67T,0,0,0,1980
49ers,363,3799,10.5,27,0,0,93T,0,0,0,1980
Chargers,350,4741,13.5,30,0,0,65,0,0,0,1980
Steelers,250,3832,15.3,26,0,0,72,0,0,0,1980
Cardinals,239,3063,12.8,16,0,0,69T,0,0,0,1980
Eagles,275,3771,13.7,28,0,0,56T,0,0,0,1980
Jets,265,3335,12.6,17,0,0,55,0,0,0,1980
Giants,245,2931,12,19,0,0,58T,0,0,0,1980
Saints,334,4010,12,26,0,0,56,0,0,0,1980
Patriots,240,3395,14.1,27,0,0,71,0,0,0,1980
Vikings,331,3934,11.9,22,0,0,76T,0,0,0,1980
