Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Redskins,477,1757,3.7,8,0,0,0,0,0,0,1971
49ers,498,2129,4.3,12,0,0,0,0,0,0,1971
Chargers,390,1604,4.1,11,0,0,0,0,0,0,1971
Steelers,416,1758,4.2,10,0,0,0,0,0,0,1971
Cardinals,417,1530,3.7,8,0,0,0,0,0,0,1971
Eagles,407,1248,3.1,6,0,0,0,0,0,0,1971
Jets,485,1888,3.9,12,0,0,0,0,0,0,1971
Giants,394,1461,3.7,11,0,0,0,0,0,0,1971
Saints,452,1711,3.8,18,0,0,0,0,0,0,1971
Patriots,419,1669,4,7,0,0,0,0,0,0,1971
Vikings,484,1695,3.5,14,0,0,0,0,0,0,1971
Dolphins,486,2429,5,11,0,0,0,0,0,0,1971
Raiders,473,2130,4.5,19,0,0,0,0,0,0,1971
Rams,460,2139,4.7,15,0,0,0,0,0,0,1971
Chiefs,487,1843,3.8,14,0,0,0,0,0,0,1971
Colts,512,2149,4.2,23,0,0,0,0,0,0,1971
Oilers,361,1106,3.1,10,0,0,0,0,0,0,1971
Packers,500,2229,4.5,18,0,0,0,0,0,0,1971
Lions,532,2376,4.5,15,0,0,0,0,0,0,1971
Broncos,512,2093,4.1,9,0,0,0,0,0,0,1971
Cowboys,512,2249,4.4,25,0,0,0,0,0,0,1971
Browns,461,1558,3.4,19,0,0,0,0,0,0,1971
Bengals,462,2142,4.6,14,0,0,0,0,0,0,1971
Bears,365,1434,3.9,6,0,0,0,0,0,0,1971
Bills,320,1337,4.2,6,0,0,0,0,0,0,1971
Falcons,494,1703,3.4,12,0,0,0,0,0,0,1971
Redskins,513,2082,4.1,17,0,0,0,0,0,0,1972
49ers,445,1616,3.6,11,0,0,0,0,0,0,1972
Chargers,504,1995,4,12,0,0,0,0,0,0,1972
Steelers,497,2520,5.1,22,0,0,0,0,0,0,1972
Cardinals,361,1229,3.4,9,0,0,0,0,0,0,1972
Eagles,398,1393,3.5,2,0,0,0,0,0,0,1972
Jets,461,2010,4.4,18,0,0,0,0,0,0,1972
Giants,524,2022,3.9,16,0,0,0,0,0,0,1972
Saints,337,1230,3.6,5,0,0,0,0,0,0,1972
Patriots,386,1532,4,13,0,0,0,0,0,0,1972
Vikings,472,1740,3.7,11,0,0,0,0,0,0,1972
Dolphins,613,2960,4.8,26,0,0,0,0,0,0,1972
Raiders,521,2376,4.6,20,0,0,0,0,0,0,1972
Rams,472,2209,4.7,17,0,0,0,0,0,0,1972
Chiefs,476,1915,4,6,0,0,0,0,0,0,1972
Colts,462,1894,4.1,10,0,0,0,0,0,0,1972
Oilers,397,1518,3.8,7,0,0,0,0,0,0,1972
Packers,544,2127,3.9,17,0,0,0,0,0,0,1972
Lions,473,2021,4.3,20,0,0,0,0,0,0,1972
Broncos,409,1838,4.5,17,0,0,0,0,0,0,1972
Cowboys,499,2124,4.3,17,0,0,0,0,0,0,1972
Browns,453,1793,4,13,0,0,0,0,0,0,1972
Bengals,491,1996,4.1,16,0,0,0,0,0,0,1972
Bears,536,2360,4.4,15,0,0,0,0,0,0,1972
Bills,512,2132,4.2,11,0,0,0,0,0,0,1972
Falcons,500,2092,4.2,16,0,0,0,0,0,0,1972
Redskins,459,1439,3.1,9,0,0,0,0,0,0,1973
49ers,422,1743,4.1,15,0,0,0,0,0,0,1973
Chargers,431,1814,4.2,9,0,0,0,0,0,0,1973
Steelers,555,2143,3.9,12,0,0,0,0,0,0,1973
Cardinals,416,1671,4,13,0,0,0,0,0,0,1973
Eagles,417,1791,4.3,9,0,0,0,0,0,0,1973
Jets,453,1864,4.1,7,0,0,0,0,0,0,1973
Giants,456,1478,3.2,11,0,0,0,0,0,0,1973
Saints,497,1842,3.7,5,0,0,0,0,0,0,1973
Patriots,454,1612,3.6,15,0,0,0,0,0,0,1973
Vikings,538,2275,4.2,14,0,0,0,0,0,0,1973
Dolphins,507,2521,5,16,0,0,0,0,0,0,1973
Raiders,547,2510,4.6,14,0,0,0,0,0,0,1973
Rams,659,2925,4.4,18,0,0,0,0,0,0,1973
Chiefs,511,1793,3.5,11,0,0,0,0,0,0,1973
Colts,536,2031,3.8,9,0,0,0,0,0,0,1973
Oilers,386,1388,3.6,9,0,0,0,0,0,0,1973
Packers,527,1973,3.7,10,0,0,0,0,0,0,1973
Lions,496,2133,4.3,17,0,0,0,0,0,0,1973
Broncos,487,1954,4,16,0,0,0,0,0,0,1973
Cowboys,542,2418,4.5,17,0,0,0,0,0,0,1973
Browns,506,1968,3.9,12,0,0,0,0,0,0,1973
Bengals,515,2236,4.3,13,0,0,0,0,0,0,1973
Bears,496,1907,3.8,11,0,0,0,0,0,0,1973
Bills,605,3088,5.1,20,0,0,0,0,0,0,1973
Falcons,518,2037,3.9,18,0,0,0,0,0,0,1973
Redskins,470,1443,3.1,11,0,0,0,0,0,0,1974
49ers,477,1981,4.2,10,0,0,0,0,0,0,1974
Chargers,508,2111,4.2,15,0,0,0,0,0,0,1974
Steelers,546,2417,4.4,19,0,0,0,0,0,0,1974
Cardinals,466,1956,4.2,12,0,0,0,0,0,0,1974
Eagles,415,1385,3.3,13,0,0,0,0,0,0,1974
Jets,444,1625,3.7,12,0,0,0,0,0,0,1974
Giants,441,1496,3.4,11,0,0,0,0,0,0,1974
Saints,503,1983,3.9,9,0,0,0,0,0,0,1974
Patriots,520,2134,4.1,21,0,0,0,0,0,0,1974
Vikings,488,1856,3.8,17,0,0,0,0,0,0,1974
Dolphins,570,2191,3.8,25,0,0,0,0,0,0,1974
Raiders,561,2334,4.2,15,0,0,0,0,0,0,1974
Rams,566,2125,3.8,16,0,0,0,0,0,0,1974
Chiefs,469,1720,3.7,10,0,0,0,0,0,0,1974
Colts,450,1818,4,13,0,0,0,0,0,0,1974
Oilers,421,1361,3.2,16,0,0,0,0,0,0,1974
Packers,482,1571,3.3,10,0,0,0,0,0,0,1974
Lions,397,1433,3.6,13,0,0,0,0,0,0,1974
Broncos,486,2157,4.4,20,0,0,0,0,0,0,1974
Cowboys,542,2454,4.5,22,0,0,0,0,0,0,1974
Browns,461,1924,4.2,14,0,0,0,0,0,0,1974
Bengals,445,1978,4.4,14,0,0,0,0,0,0,1974
Bears,434,1480,3.4,10,0,0,0,0,0,0,1974
Bills,545,2094,3.8,11,0,0,0,0,0,0,1974
Falcons,400,1493,3.7,6,0,0,0,0,0,0,1974
Redskins,444,1752,3.9,9,0,0,43,0,0,0,1975
49ers,422,1598,3.8,12,0,0,52,0,0,0,1975
Chargers,434,1801,4.1,14,0,0,48T,0,0,0,1975
Steelers,581,2633,4.5,22,0,0,36,0,0,0,1975
Cardinals,555,2402,4.3,19,0,0,57T,0,0,0,1975
Eagles,461,1702,3.7,3,0,0,51,0,0,0,1975
Jets,501,2079,4.1,15,0,0,42,0,0,0,1975
Giants,482,1627,3.4,17,0,0,46T,0,0,0,1975
Saints,463,1642,3.5,9,0,0,22,0,0,0,1975
Patriots,472,1845,3.9,14,0,0,66T,0,0,0,1975
Vikings,556,2094,3.8,18,0,0,31T,0,0,0,1975
Dolphins,594,2500,4.2,26,0,0,56,0,0,0,1975
Raiders,643,2573,4,28,0,0,66,0,0,0,1975
Rams,585,2371,4.1,18,0,0,43T,0,0,0,1975
Chiefs,487,1847,3.8,14,0,0,65,0,0,0,1975
Colts,536,2217,4.1,28,0,0,70T,0,0,0,1975
Oilers,526,2068,3.9,14,0,0,46T,0,0,0,1975
Packers,431,1547,3.6,14,0,0,29,0,0,0,1975
Lions,532,2147,4,10,0,0,46T,0,0,0,1975
Broncos,490,1993,4.1,9,0,0,34,0,0,0,1975
Cowboys,571,2432,4.3,17,0,0,32,0,0,0,1975
Browns,440,1850,4.2,14,0,0,50,0,0,0,1975
Bengals,499,1819,3.6,20,0,0,29,0,0,0,1975
